test_name,gamePk,misses,ump_scorecards
test_data0,717682,1,https://twitter.com/UmpScorecards/status/1671526204338257923
test_data1,717774,1,https://twitter.com/UmpScorecards/status/1669006670897266690
test_data2,717990,1,https://twitter.com/UmpScorecards/status/1663191326714634240
test_data3,718150,1,https://twitter.com/UmpScorecards/status/1658843190533795849
test_data4,718238,1,https://twitter.com/UmpScorecards/status/1656307096244178944
test_data5,717243,1,https://twitter.com/UmpScorecards/status/1684934366529536001
test_data6,718749,2,https://twitter.com/UmpScorecards/status/1642536807689592833
test_data7,718744,2,https://twitter.com/UmpScorecards/status/1642898003252920321
test_data8,718659,2,https://twitter.com/UmpScorecards/status/1645073314891591681
test_data9,718496,2,https://twitter.com/UmpScorecards/status/1649420525746241537
test_data10,718453,2,https://twitter.com/UmpScorecards/status/1650509210486992898
test_data11,718394,2,https://twitter.com/UmpScorecards/status/1652320096814088197
test_data12,718191,2,https://twitter.com/UmpScorecards/status/1657756227781140480
test_data13,717942,2,https://twitter.com/UmpScorecards/status/1664640657648959488
test_data14,717895,2,https://twitter.com/UmpScorecards/status/1665728980723408902
test_data15,717928,2,https://twitter.com/UmpScorecards/status/1666090271061463042
test_data16,717681,2,
test_data17,717573,2,https://twitter.com/UmpScorecards/status/1674787812355506179
test_data18,717446,2,https://twitter.com/UmpScorecards/status/1678049462931935232
test_data19,717440,2,https://twitter.com/UmpScorecards/status/1678050569099812864
test_data20,717280,2,https://twitter.com/UmpScorecards/status/1683847374014119938
test_data21,717260,2,https://twitter.com/UmpScorecards/status/1684210180194443265
test_data22,717097,2,https://twitter.com/UmpScorecards/status/1688921014716235778
test_data23,717056,2,https://twitter.com/UmpScorecards/status/1690007948821397504
test_data24,717000,2,https://twitter.com/UmpScorecards/status/1691457411725570049
test_data25,716990,2,https://twitter.com/UmpScorecards/status/1691820266513399956
test_data26,716982,2,https://twitter.com/UmpScorecards/status/1692183249106157723
test_data27,716852,2,https://twitter.com/UmpScorecards/status/1695446507866980497
